2019-03-19 19:29:03,556 (__init__.py:394 MainThread) INFO - TeleBot: "Started polling."
2019-03-19 19:29:03,558 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:29:03,558 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 1, 'timeout': 20} files=None"
2019-03-19 19:29:23,232 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[{"update_id":819084361,\n"message":{"message_id":131,"from":{"id":478030647,"is_bot":false,"first_name":"Caste","username":"EnricoCastelli","language_code":"en"},"chat":{"id":478030647,"first_name":"Caste","username":"EnricoCastelli","type":"private"},"date":1553020163,"text":"/whoami","entities":[{"offset":0,"length":7,"type":"bot_command"}]}}]}''"
2019-03-19 19:29:23,234 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 1 new updates"
2019-03-19 19:29:23,235 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:29:23,236 (util.py:56 WorkerThread2) DEBUG - TeleBot: "Received task"
2019-03-19 19:29:23,238 (apihelper.py:45 WorkerThread2) DEBUG - TeleBot: "Request: method=post url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/sendMessage params={'chat_id': '478030647', 'text': "{'first_name': 'Caste', 'last_name': None, 'is_bot': False, 'username': 'EnricoCastelli', 'id': 478030647, 'language_code': 'en'}", 'reply_to_message_id': 131} files=None"
2019-03-19 19:29:23,239 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:29:23,247 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084362, 'timeout': 20} files=None"
2019-03-19 19:29:23,533 (apihelper.py:55 WorkerThread2) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":{"message_id":132,"from":{"id":798083745,"is_bot":true,"first_name":"PiBot","username":"MySuperPersonalPrivateTestBot"},"chat":{"id":478030647,"first_name":"Caste","username":"EnricoCastelli","type":"private"},"date":1553020163,"reply_to_message":{"message_id":131,"from":{"id":478030647,"is_bot":false,"first_name":"Caste","username":"EnricoCastelli","language_code":"en"},"chat":{"id":478030647,"first_name":"Caste","username":"EnricoCastelli","type":"private"},"date":1553020163,"text":"/whoami","entities":[{"offset":0,"length":7,"type":"bot_command"}]},"text":"{\'first_name\': \'Caste\', \'last_name\': None, \'is_bot\': False, \'username\': \'EnricoCastelli\', \'id\': 478030647, \'language_code\': \'en\'}"}}''"
