2019-03-20 22:18:09,666 (__init__.py:394 MainThread) INFO - TeleBot: "Started polling."
2019-03-20 22:18:09,668 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:18:09,669 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 1, 'timeout': 20} files=None"
2019-03-20 22:18:09,938 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[{"update_id":819084380,\n"message":{"message_id":167,"from":{"id":478030647,"is_bot":false,"first_name":"Caste","username":"EnricoCastelli","language_code":"en"},"chat":{"id":478030647,"first_name":"Caste","username":"EnricoCastelli","type":"private"},"date":1553068440,"text":"Ciao"}},{"update_id":819084381,\n"message":{"message_id":168,"from":{"id":478030647,"is_bot":false,"first_name":"Caste","username":"EnricoCastelli","language_code":"en"},"chat":{"id":478030647,"first_name":"Caste","username":"EnricoCastelli","type":"private"},"date":1553116365,"text":"prova"}}]}''"
2019-03-20 22:18:09,939 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 2 new updates"
2019-03-20 22:18:09,940 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:18:09,940 (util.py:56 WorkerThread1) DEBUG - TeleBot: "Received task"
2019-03-20 22:18:09,941 (util.py:56 WorkerThread2) DEBUG - TeleBot: "Received task"
2019-03-20 22:18:09,942 (apihelper.py:45 WorkerThread1) DEBUG - TeleBot: "Request: method=post url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/sendMessage params={'chat_id': '478030647', 'text': 'Ciao', 'reply_to_message_id': 167} files=None"
2019-03-20 22:18:09,942 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:18:09,942 (apihelper.py:45 WorkerThread2) DEBUG - TeleBot: "Request: method=post url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/sendMessage params={'chat_id': '478030647', 'text': 'prova', 'reply_to_message_id': 168} files=None"
2019-03-20 22:18:09,949 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084382, 'timeout': 20} files=None"
2019-03-20 22:18:10,284 (apihelper.py:55 WorkerThread1) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":{"message_id":169,"from":{"id":798083745,"is_bot":true,"first_name":"PiBot","username":"MySuperPersonalPrivateTestBot"},"chat":{"id":478030647,"first_name":"Caste","username":"EnricoCastelli","type":"private"},"date":1553116690,"reply_to_message":{"message_id":167,"from":{"id":478030647,"is_bot":false,"first_name":"Caste","username":"EnricoCastelli","language_code":"en"},"chat":{"id":478030647,"first_name":"Caste","username":"EnricoCastelli","type":"private"},"date":1553068440,"text":"Ciao"},"text":"Ciao"}}''"
2019-03-20 22:18:10,286 (util.py:60 WorkerThread1) DEBUG - TeleBot: "Task complete"
2019-03-20 22:18:10,310 (apihelper.py:55 WorkerThread2) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":{"message_id":170,"from":{"id":798083745,"is_bot":true,"first_name":"PiBot","username":"MySuperPersonalPrivateTestBot"},"chat":{"id":478030647,"first_name":"Caste","username":"EnricoCastelli","type":"private"},"date":1553116690,"reply_to_message":{"message_id":168,"from":{"id":478030647,"is_bot":false,"first_name":"Caste","username":"EnricoCastelli","language_code":"en"},"chat":{"id":478030647,"first_name":"Caste","username":"EnricoCastelli","type":"private"},"date":1553116365,"text":"prova"},"text":"prova"}}''"
2019-03-20 22:18:10,312 (util.py:60 WorkerThread2) DEBUG - TeleBot: "Task complete"
